"Date","Price","Open","High","Low","Vol.","Change %"
"09/25/2023","359.61","356.93","359.70","355.93","38.48M","0.47%"
"09/22/2023","357.91","359.63","361.80","357.59","51.59M","0.01%"
"09/21/2023","357.86","360.80","361.60","357.69","68.60M","-1.83%"
"09/20/2023","364.54","370.95","371.31","364.46","44.93M","-1.44%"
"09/19/2023","369.87","369.32","370.68","366.80","37.32M","-0.21%"
"09/18/2023","370.66","369.32","371.79","369.03","36.64M","-0.04%"
"09/15/2023","370.81","375.91","376.32","369.86","69.81M","-1.71%"
"09/14/2023","377.27","375.99","378.27","373.89","47.41M","0.82%"
"09/13/2023","374.21","373.03","375.84","371.88","46.08M","0.38%"
"09/12/2023","372.79","375.27","376.95","372.50","40.91M","-1.11%"
"09/11/2023","376.97","375.66","377.49","373.66","39.36M","1.18%"
"09/08/2023","372.58","372.01","374.85","371.60","35.85M","0.14%"
"09/07/2023","372.06","370.21","372.85","369.15","51.90M","-0.72%"
"09/06/2023","374.74","377.28","377.63","372.70","42.64M","-0.88%"
"09/05/2023","378.07","376.77","379.31","375.83","32.03M","0.13%"
"09/01/2023","377.59","380.40","380.83","376.08","39.80M","-0.11%"
"08/31/2023","377.99","376.94","379.72","376.87","35.39M","0.30%"
"08/30/2023","376.86","374.88","377.45","373.86","41.37M","0.56%"
"08/29/2023","374.77","366.56","375.13","366.23","58.01M","2.18%"
"08/28/2023","366.76","366.99","367.71","364.25","40.67M","0.75%"
"08/25/2023","364.02","362.07","365.74","358.58","69.96M","0.78%"
"08/24/2023","361.22","372.64","372.74","361.01","66.11M","-2.14%"
"08/23/2023","369.11","364.58","370.22","364.36","49.64M","1.58%"
"08/22/2023","363.38","366.55","366.56","362.68","44.41M","-0.14%"
"08/21/2023","363.90","359.62","364.59","359.15","49.90M","1.61%"
"08/18/2023","358.13","355.26","359.41","354.71","61.19M","-0.13%"
"08/17/2023","358.58","363.96","364.31","358.16","61.83M","-1.09%"
"08/16/2023","362.54","365.87","367.43","362.44","52.18M","-1.06%"
"08/15/2023","366.42","369.36","370.17","365.74","45.31M","-1.06%"
"08/14/2023","370.35","365.43","370.47","364.70","41.42M","1.12%"
"08/11/2023","366.24","365.99","368.00","364.69","48.71M","-0.64%"
"08/10/2023","368.59","370.97","374.36","367.04","71.73M","0.18%"
"08/09/2023","367.91","372.29","372.45","367.14","50.41M","-1.10%"
"08/08/2023","372.00","372.64","372.66","368.82","44.73M","-0.85%"
"08/07/2023","375.19","373.88","375.29","371.51","37.23M","0.85%"
"08/04/2023","372.04","375.75","378.10","371.53","61.70M","-0.47%"
"08/03/2023","373.79","371.94","375.95","371.77","47.86M","-0.16%"
"08/02/2023","374.39","379.26","379.26","373.13","71.35M","-2.19%"
"08/01/2023","382.79","382.31","383.56","380.69","40.27M","-0.23%"
"07/31/2023","383.68","383.79","384.88","382.34","43.20M","0.05%"
"07/28/2023","383.48","380.74","384.52","380.22","56.90M","1.82%"
"07/27/2023","376.62","383.07","384.71","375.31","63.57M","-0.24%"
"07/26/2023","377.52","377.72","379.24","375.18","46.66M","-0.33%"
"07/25/2023","378.78","376.95","380.47","376.93","37.87M","0.68%"
"07/24/2023","376.23","376.62","377.58","374.34","40.11M","0.16%"
"07/21/2023","375.63","379.18","379.92","375.19","60.50M","-0.30%"
"07/20/2023","376.76","382.61","384.10","375.72","71.94M","-2.31%"
"07/19/2023","385.65","386.82","387.98","384.30","54.09M","-0.02%"
"07/18/2023","385.74","381.96","387.13","380.00","55.09M","0.82%"
"07/17/2023","382.61","379.80","383.50","379.31","39.98M","0.93%"
"07/14/2023","379.07","379.58","382.86","378.18","53.71M","-0.02%"
"07/13/2023","379.15","376.05","379.99","375.46","46.64M","1.70%"
"07/12/2023","372.82","372.34","374.19","370.30","61.70M","1.26%"
"07/11/2023","368.17","366.79","368.63","364.62","37.98M","0.49%"
"07/10/2023","366.36","365.96","367.05","363.41","48.50M","0.03%"
"07/07/2023","366.24","367.20","370.47","366.02","47.13M","-0.33%"
"07/06/2023","367.46","366.51","367.91","364.52","49.07M","-0.76%"
"07/05/2023","370.28","368.70","372.01","368.66","34.10M","0.00%"
"07/03/2023","370.29","370.07","370.93","368.97","19.43M","0.24%"
"06/30/2023","369.42","367.55","370.49","367.23","58.71M","1.54%"
"06/29/2023","363.81","364.24","364.89","362.14","46.15M","-0.20%"
"06/28/2023","364.54","361.98","366.52","361.90","46.21M","0.20%"
"06/27/2023","363.83","359.25","364.57","358.51","48.50M","1.72%"
"06/26/2023","357.68","362.00","364.84","357.59","52.25M","-1.34%"
"06/23/2023","362.54","362.21","364.88","360.82","48.92M","-0.99%"
"06/22/2023","366.17","360.63","366.33","360.22","47.27M","1.18%"
"06/21/2023","361.90","365.74","366.18","360.96","52.77M","-1.36%"
"06/20/2023","366.90","365.95","368.32","363.89","48.57M","-0.28%"
"06/16/2023","367.93","372.72","372.85","367.48","80.93M","-0.63%"
"06/15/2023","370.26","364.61","371.77","363.98","69.66M","1.19%"
"06/14/2023","365.90","363.27","366.19","360.42","69.53M","0.73%"
"06/13/2023","363.26","363.29","364.11","360.03","56.43M","0.77%"
"06/12/2023","360.49","356.19","360.59","355.20","42.26M","1.69%"
"06/09/2023","354.50","354.63","357.66","353.03","53.20M","0.38%"
"06/08/2023","353.15","349.12","353.62","348.89","46.49M","1.24%"
"06/07/2023","348.82","355.13","357.12","348.18","69.23M","-1.70%"
"06/06/2023","354.84","354.28","355.82","352.93","40.78M","-0.02%"
"06/05/2023","354.90","354.43","357.49","353.85","46.63M","0.07%"
"06/02/2023","354.65","353.80","355.83","352.01","53.37M","0.75%"
"06/01/2023","352.01","347.73","353.36","346.66","49.51M","1.16%"
"05/31/2023","347.99","348.37","350.60","346.51","65.11M","-0.57%"
"05/30/2023","349.98","352.71","353.93","348.53","71.48M","0.45%"
"05/26/2023","348.40","340.76","349.24","340.66","63.01M","2.56%"
"05/25/2023","339.72","339.14","341.01","336.67","66.41M","2.43%"
"05/24/2023","331.65","331.37","332.90","329.56","59.58M","-0.51%"
"05/23/2023","333.36","335.89","337.06","333.00","47.55M","-1.27%"
"05/22/2023","337.64","336.25","338.67","336.24","42.29M","0.34%"
"05/19/2023","336.51","337.49","338.20","335.43","61.55M","-0.23%"
"05/18/2023","337.27","331.52","337.49","331.50","63.14M","1.86%"
"05/17/2023","331.12","328.24","331.71","327.04","47.11M","1.21%"
"05/16/2023","327.16","326.06","328.90","326.02","39.60M","0.11%"
"05/15/2023","326.79","325.51","327.03","323.96","33.15M","0.54%"
"05/12/2023","325.03","326.74","327.17","322.94","48.43M","-0.36%"
"05/11/2023","326.20","325.70","326.75","324.12","43.74M","0.33%"
"05/10/2023","325.14","324.12","326.01","321.60","60.07M","1.09%"
"05/09/2023","321.64","322.00","322.88","321.32","31.39M","-0.63%"
"05/08/2023","323.69","322.42","324.04","321.32","36.47M","0.25%"
"05/05/2023","322.89","318.47","323.76","316.21","51.81M","2.13%"
"05/04/2023","316.17","317.06","318.23","315.11","48.69M","-0.35%"
"05/03/2023","317.29","319.75","322.47","317.18","58.00M","-0.65%"
"05/02/2023","319.38","322.12","322.45","317.61","55.70M","-0.87%"
"05/01/2023","322.19","322.09","323.63","321.09","40.30M","-0.11%"
"04/28/2023","322.56","320.11","322.65","318.96","59.71M","0.69%"
"04/27/2023","320.35","315.70","320.86","315.05","62.64M","2.72%"
"04/26/2023","311.87","313.44","314.93","311.34","53.43M","0.61%"
"04/25/2023","309.99","314.29","314.97","309.89","54.77M","-1.89%"
"04/24/2023","315.95","316.38","317.74","313.74","44.04M","-0.21%"
"04/21/2023","316.61","315.88","317.39","314.12","59.00M","0.10%"
"04/20/2023","316.28","315.69","319.27","314.97","62.08M","-0.76%"
"04/19/2023","318.71","316.41","319.79","316.28","38.96M","-0.05%"
"04/18/2023","318.86","320.99","321.42","317.64","46.10M","0.01%"
"04/17/2023","318.84","318.15","319.20","316.04","42.55M","0.08%"
"04/14/2023","318.57","317.69","320.33","315.66","56.28M","-0.19%"
"04/13/2023","319.17","314.83","319.65","314.64","53.55M","1.96%"
"04/12/2023","313.04","317.82","318.42","312.57","62.44M","-0.88%"
"04/11/2023","315.83","317.83","317.89","315.31","39.73M","-0.64%"
"04/10/2023","317.87","315.07","317.92","313.25","42.29M","-0.06%"
"04/06/2023","318.05","314.10","318.52","312.92","46.92M","0.67%"
"04/05/2023","315.92","318.10","319.06","314.07","62.24M","-0.99%"
"04/04/2023","319.07","320.60","321.63","317.83","45.40M","-0.34%"
"04/03/2023","320.15","318.77","320.42","317.42","46.57M","-0.24%"
"03/31/2023","320.93","315.91","321.17","315.60","62.14M","1.66%"
"03/30/2023","315.68","315.24","316.32","312.81","57.04M","0.95%"
"03/29/2023","312.72","310.88","313.35","310.05","52.91M","1.82%"
"03/28/2023","307.12","308.17","308.20","304.77","47.93M","-0.53%"
"03/27/2023","308.76","311.60","312.70","307.89","49.54M","-0.69%"
"03/24/2023","310.89","309.32","310.99","306.95","57.25M","0.37%"
"03/23/2023","309.75","309.92","314.15","307.01","73.52M","1.19%"
"03/22/2023","306.12","310.27","315.25","305.95","74.96M","-1.36%"
"03/21/2023","310.34","307.94","310.80","306.39","48.78M","1.43%"
"03/20/2023","305.97","304.26","306.30","302.01","55.88M","0.20%"
"03/17/2023","305.36","306.72","309.15","303.37","89.92M","-0.47%"
"03/16/2023","306.81","298.00","307.18","297.19","98.56M","2.64%"
"03/15/2023","298.93","294.71","299.27","293.24","82.93M","0.52%"
"03/14/2023","297.37","294.31","297.93","293.45","73.13M","2.30%"
"03/13/2023","290.69","286.73","294.47","285.19","96.27M","0.74%"
"03/10/2023","288.55","292.83","294.35","287.38","98.59M","-1.40%"
"03/09/2023","292.66","298.33","300.98","291.83","70.02M","-1.73%"
"03/08/2023","297.82","296.77","298.43","294.88","50.88M","0.50%"
"03/07/2023","296.34","300.07","301.01","295.72","65.96M","-1.23%"
"03/06/2023","300.02","300.94","304.00","299.82","56.74M","0.11%"
"03/03/2023","299.68","295.42","299.90","294.89","60.51M","2.07%"
"03/02/2023","293.61","288.66","294.43","288.37","52.90M","0.83%"
"03/01/2023","291.20","293.26","293.93","290.20","57.62M","-0.80%"
"02/28/2023","293.56","293.30","296.12","292.96","48.24M","-0.13%"
"02/27/2023","293.94","295.07","296.49","293.34","49.00M","0.72%"
"02/24/2023","291.85","291.48","292.85","290.08","74.33M","-1.67%"
"02/23/2023","296.82","297.97","298.13","292.55","68.51M","0.87%"
"02/22/2023","294.25","294.62","296.36","292.56","50.28M","0.07%"
"02/21/2023","294.03","297.26","298.73","293.89","46.21M","-2.37%"
"02/17/2023","301.16","301.07","301.93","298.10","58.23M","-0.71%"
"02/16/2023","303.30","304.38","308.43","303.15","58.54M","-1.88%"
"02/15/2023","309.10","304.90","309.27","304.20","42.71M","0.77%"
"02/14/2023","306.75","302.89","307.72","300.91","63.30M","0.74%"
"02/13/2023","304.50","301.13","305.10","299.93","39.32M","1.60%"
"02/10/2023","299.70","299.48","301.57","297.25","50.05M","-0.66%"
"02/09/2023","301.68","308.84","308.99","300.20","48.43M","-0.88%"
"02/08/2023","304.37","308.54","309.50","303.67","56.24M","-1.78%"
"02/07/2023","309.88","303.46","311.03","302.32","66.96M","2.07%"
"02/06/2023","303.59","303.51","305.91","302.22","40.80M","-0.85%"
"02/03/2023","306.18","304.94","312.39","304.54","76.17M","-1.78%"
"02/02/2023","311.72","307.57","313.68","306.73","80.45M","3.59%"
"02/01/2023","300.92","294.41","303.43","292.30","66.07M","2.14%"
"01/31/2023","294.62","290.31","294.72","290.20","46.10M","1.50%"
"01/30/2023","290.27","292.93","294.38","289.89","49.41M","-2.02%"
"01/27/2023","296.26","292.00","298.26","291.88","56.44M","1.00%"
"01/26/2023","293.34","291.22","293.52","288.52","51.03M","1.95%"
"01/25/2023","287.73","283.77","288.36","281.18","50.87M","-0.22%"
"01/24/2023","288.37","287.31","289.55","286.78","41.72M","-0.20%"
"01/23/2023","288.96","283.54","290.21","282.73","52.42M","2.22%"
"01/20/2023","282.68","276.79","283.02","275.71","60.61M","2.74%"
"01/19/2023","275.15","276.22","277.38","273.89","43.47M","-0.98%"
"01/18/2023","277.88","283.11","284.69","277.67","46.98M","-1.30%"
"01/17/2023","281.54","280.77","282.85","279.58","35.88M","0.20%"
"01/13/2023","280.97","276.50","281.22","276.16","44.80M","0.69%"
"01/12/2023","279.05","278.12","280.10","273.74","60.15M","0.54%"
"01/11/2023","277.55","273.92","277.66","273.12","43.46M","1.73%"
"01/10/2023","272.83","269.49","272.94","268.97","34.83M","0.85%"
"01/09/2023","270.54","270.83","275.29","269.92","45.16M","0.65%"
"01/06/2023","268.80","263.35","269.94","260.34","54.66M","2.76%"
"01/05/2023","261.58","264.04","264.21","261.26","45.40M","-1.57%"
"01/04/2023","265.74","266.64","267.45","262.53","47.07M","0.48%"
"01/03/2023","264.48","268.65","270.15","262.13","41.91M","-0.68%"